Annual CO2 emissions (per capita),Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Entity,Exports of goods and services (constant 2015 US$),GDP per capita growth (annual %),Gas per capita (kWh),Imports of goods and services (constant 2015 US$),Oil per capita (kWh),Population (historical estimates),Renewables(TWh_growth_equivalent),Year
0.556,1234.17333984375,,India,20636559360,1.7194868326187134,84.8829116821289,27117944832,685.3470458984375,819682095,-10.663589477539062,1987
0.5877,1296.2359619140625,,India,22178742272,7.299419403076172,97.3228759765625,29611296768,736.1475830078125,837468938,16.714126586914062,1988
0.6327,1379.508056640625,,India,24835563520,3.7343764305114746,113.29436492919922,30228506624,780.7149658203125,855334675,25.887939453125,1989
0.6625,1461.190185546875,1332685,India,27593408512,3.36507248878479,132.7496795654297,31245944832,794.7736206054688,873277799,9.1612548828125,1990
0.6911,1523.525634765625,1340608,India,30259562496,-0.9835736751556396,144.8579559326172,31250694144,792.2385864257812,891273202,22.669708251953125,1991
0.7215,1581.7061767578125,1343393,India,31740235776,3.390418291091919,158.7438507080078,37853364224,818.4107055664062,909307018,-11.403121948242188,1992
0.731,1606.2314453125,1336597,India,36113911808,2.7067272663116455,158.15206909179688,45146673152,810.9118041992188,927403866,2.4284820556640625,1993
0.7582,1625.7235107421875,1330688,India,40824492032,4.606289386749268,167.6912841796875,55350538240,854.764404296875,945601828,28.725845336914062,1994
0.7906,1692.6810302734375,1322703,India,53641777152,5.529881477355957,187.54441833496094,70918365184,935.0872192382812,963922586,-11.197906494140625,1995
0.8407,1708.613525390625,1342791,India,57015701504,5.530416488647461,200.85931396484375,69187969024,990.2236938476562,982365248,-18.536544799804688,1996
0.8589,1753.7841796875,1402370,India,55688273920,2.123014450073242,214.3334503173828,78321254400,1038.9207763671875,1000900028,4.454833984375,1997
0.8609,1778.997802734375,1412747,India,63420211200,4.248843669891357,230.92941284179688,94647779328,1092.2269287109375,1019483586,40.94929504394531,1998
0.9169,1730.8028564453125,1385403,India,74835517440,6.898116111755371,232.38938903808594,101266030592,1177.755859375,1038058154,-1.748809814453125,1999
0.9265,1808.8306884765625,1387431,India,88420786176,2.0210886001586914,240.0461883544922,105913851904,1212.6319580078125,1056575548,-15.145904541015625,2000
0.9233,1792.514404296875,1404542,India,92231303168,3.027376651763916,236.53717041015625,109032218624,1195.369384765625,1075000094,-13.38958740234375,2001
0.9357,1840.99365234375,1410495,India,111678275584,2.064876079559326,242.87933349609375,122112622592,1199.6832275390625,1093317187,-2.7729339599609375,2002
0.9533,1896.48193359375,1391459,India,122379534336,6.093705177307129,255.7472686767578,139066638336,1202.0863037109375,1111523146,3.61346435546875,2003
0.9963,1986.085205078125,1341668,India,155637907456,6.193652629852295,271.4987487792969,169932800000,1251.937255859375,1129623466,99.17469787597656,2004
1.0334,2140.19873046875,1373204,India,196236165120,6.231949806213379,299.1054382324219,224769507328,1253.16455078125,1147609924,-6.97906494140625,2005
1.0809,2187.81201171875,1420870,India,236256182272,6.403284072875977,307.8302307128906,273105403904,1303.499267578125,1165486291,56.3436279296875,2006
1.1479,2358.2236328125,1458927,India,250116243456,6.0481743812561035,328.00836181640625,300283723776,1371.6087646484375,1183209471,39.720245361328125,2007
1.2183,2515.8974609375,1493106,India,287078776832,1.5875983238220215,333.044677734375,367693299712,1419.806640625,1200669762,-9.182220458984375,2008
1.3244,2697.6416015625,1461801,India,273200726016,6.351088047027588,403.2768859863281,360612200448,1472.807861328125,1217726217,-15.64544677734375,2009
1.3594,2732.793212890625,1459403,India,326415122432,7.0423479080200195,477.7001037597656,417631797248,1484.72607421875,1234281163,24.136871337890625,2010
1.4238,2834.099365234375,1497826,India,376986566656,3.89396595954895,482.1759033203125,502877683712,1535.8193359375,1250287939,86.13204956054688,2011
1.5513,3075.8408203125,1541016,India,402642337792,4.16567325592041,440.03759765625,533159968768,1608.8238525390625,1265780243,-24.747314453125,2012
1.5903,3225.321044921875,1584768,India,434017828864,5.135074615478516,382.71148681640625,489729818624,1601.4949951171875,1280842119,60.5057373046875,2013
1.6871,3507.201171875,1591958,India,441732857856,6.186679363250732,374.3558044433594,493996474368,1626.89990234375,1295600768,38.1905517578125,2014
1.7315,3509.70263671875,1607975,India,416787824640,6.796759128570557,364.895263671875,465097490432,1738.6943359375,1310152392,4.0999755859375,2015
1.7986,3539.486083984375,1600197,India,437561622528,7.08222770690918,383.4678649902344,485477548032,1885.9920654296875,1324517250,10.5350341796875,2016
1.8181,3618.5009765625,1604105,India,457535029248,5.665781021118164,400.39434814453125,570047660032,1921.2161865234375,1338676779,66.1353759765625,2017
1.922,3815.088134765625,1644708,India,514025324544,5.433077335357666,428.7628479003906,619111514112,1987.2520751953125,1352642283,79.1416015625,2018
1.9218,3779.107666015625,1667331,India,497033183232,2.992664337158203,433.6143798828125,614286491648,2031.30517578125,1366417756,106.68853759765625,2019
1.7694,3502.61474609375,,India,473778094080,-8.164894104003906,438.1866455078125,530705940480,1826.8819580078125,1380004385,30.609375,2020
,4004.67578125,,India,,,446.15643310546875,,1875.118408203125,1393409033,46.24908447265625,2021
0.6434,19.95546531677246,,Indonesia,32058705920,7.318041801452637,483.9305114746094,25256552448,1543.3497314453125,147447834,-0.3920433521270752,1980
0.6645,20.803874969482422,,Indonesia,31292340224,5.43138313293457,472.0672912597656,32090976256,1653.14501953125,150938222,-0.013068199157714844,1981
0.6835,19.199092864990234,,Indonesia,26930954240,-0.09015986323356628,438.2810363769531,34724605952,1678.8822021484375,154468235,0.339771032333374,1982
0.6657,18.76883888244629,,Indonesia,28622180352,1.8579859733581543,574.9188842773438,39006412800,1606.5677490234375,158009248,2.051694393157959,1983
0.6962,19.224525451660156,,Indonesia,30493935616,4.648166179656982,656.669677734375,36075450368,1693.701904296875,161523353,0.5619292259216309,1984
0.737,63.443111419677734,,Indonesia,28114114560,0.3138744831085205,760.408203125,37979275264,1629.767333984375,164982452,1.48976469039917,1985
0.7256,99.8785400390625,,Indonesia,32390928384,3.7422332763671875,803.5639038085938,39562317824,1637.639404296875,168374287,4.992022514343262,1986
0.7215,153.5514678955078,,Indonesia,37127643136,2.8919315338134766,815.1790771484375,40344199168,1663.39697265625,171702756,0.37897491455078125,1987
0.7585,157.3921356201172,,Indonesia,37518028800,3.8017098903656006,849.2366333007812,32802043904,1716.7083740234375,174975953,1.3329477310180664,1988
0.7389,231.9354705810547,,Indonesia,41437335552,5.507034778594971,933.50146484375,37211705344,1787.8316650390625,178209147,3.685209274291992,1989
0.8284,219.32188415527344,169174,Indonesia,41624240128,5.347945690155029,946.6240844726562,45812396032,2018.9405517578125,181413398,3.8280582427978516,1990
0.9785,218.1367645263672,167220,Indonesia,49899245568,5.071058750152588,1070.9398193359375,53521498112,2113.2685546875,184591897,2.4952239990234375,1991
1.0844,261.8033447265625,165784,Indonesia,57216671744,4.711831092834473,1148.376220703125,57035194368,2239.85791015625,187739786,6.710014343261719,1992
1.1515,300.216796875,165002,Indonesia,60997963776,4.760224342346191,1198.269287109375,59566272512,2349.814208984375,190851184,-2.21307373046875,1993
1.1492,295.57330322265625,163919,Indonesia,67061886976,5.8395209312438965,1396.6324462890625,71655374848,2286.236328125,193917458,-1.2326717376708984,1994
1.1503,320.29705810546875,163065,Indonesia,72239849472,6.5622053146362305,1450.1510009765625,86659301376,2492.305908203125,196934257,2.644350051879883,1995
1.276,376.1302795410156,162475,Indonesia,77701201920,6.217927932739258,1487.260498046875,92608258048,2640.85400390625,199901231,1.9406852722167969,1996
1.3841,457.1833801269531,162527,Indonesia,83761872896,3.189871311187744,1528.9630126953125,106236461056,2883.08056640625,202826444,-7.655101776123047,1997
1.0498,483.7142028808594,163155,Indonesia,93129113600,-14.350556373596191,1453.348388671875,100616413184,2707.97119140625,205724597,14.883853912353516,1998
1.1694,656.5390014648438,163509,Indonesia,63509413888,-0.6054368019104004,1557.495849609375,59690446848,2795.715576171875,208615171,1.9045295715332031,1999
1.2989,723.6851196289062,164777,Indonesia,80329834496,3.482210636138916,1560.42529296875,75170545664,3011.6806640625,211513822,1.5681114196777344,2000
1.4147,906.2822875976562,166645,Indonesia,80847945728,2.2351796627044678,1591.89453125,78312570880,3075.11328125,214427419,7.809711456298828,2001
1.43,922.2388305664062,168688,Indonesia,79864078336,3.0906360149383545,1707.0216064453125,74984718336,3042.95068359375,217357790,-4.098674774169922,2002
1.5453,1221.4033203125,170997,Indonesia,84565180416,3.376532793045044,1795.5731201171875,76157280256,3083.21875,220309473,-2.4247360229492188,2003
1.5424,1107.1727294921875,173436,Indonesia,96005439488,3.630908727645874,1621.3394775390625,96455704576,3219.743408203125,223285666,2.386402130126953,2004
1.5422,1252.009765625,176888,Indonesia,111943606272,4.289591312408447,1608.2745361328125,113594867712,3172.43408203125,226289468,2.7985687255859375,2005
1.5119,1463.8701171875,180119,Indonesia,122472488960,4.107514381408691,1618.334228515625,123344338944,3014.745849609375,229318262,-3.392383575439453,2006
1.6708,1812.441650390625,183353,Indonesia,132935286784,4.946468353271484,1490.78662109375,134524583936,3138.156005859375,232374239,5.68792724609375,2007
1.5556,1555.9307861328125,186824,Indonesia,145608622080,4.6200337409973145,1685.765869140625,147980500992,3159.394775390625,235469755,3.858844757080078,2008
