Entity,Year,SSTA
Tropics,1951,-0.04554
Tropics,1952,0.01694
Tropics,1953,0.09621
Tropics,1954,-0.23071
Tropics,1955,-0.37791
Tropics,1956,-0.3631
Tropics,1957,0.02676
Tropics,1958,0.09415
Tropics,1959,-0.03658
Tropics,1960,-0.1026
Tropics,1961,-0.13676
Tropics,1962,-0.17795
Tropics,1963,0.03342
Tropics,1964,-0.24315
Tropics,1965,-0.14781
Tropics,1966,-0.01644
Tropics,1967,-0.28456
Tropics,1968,-0.19284
Tropics,1969,0.16513
Tropics,1970,-0.11834
Tropics,1971,-0.42421
Tropics,1972,0.06341
Tropics,1973,0.02229
Tropics,1974,-0.30312
Tropics,1975,-0.36046
Tropics,1976,-0.19696
Tropics,1977,0.08217
Tropics,1978,0.00613
Tropics,1979,0.15591
Tropics,1980,0.18832
Tropics,1981,0.09292
Tropics,1982,0.22216
Tropics,1983,0.36222
Tropics,1984,0.06755
Tropics,1985,-0.04512
Tropics,1986,0.11925
Tropics,1987,0.47569
Tropics,1988,0.26985
Tropics,1989,0.07459
Tropics,1990,0.28776
Tropics,1991,0.3265
Tropics,1992,0.25408
Tropics,1993,0.26801
Tropics,1994,0.28225
Tropics,1995,0.38617
Tropics,1996,0.26192
Tropics,1997,0.50692
Tropics,1998,0.64461
Tropics,1999,0.12757
Tropics,2000,0.17346
Tropics,2001,0.33835
Tropics,2002,0.48184
Tropics,2003,0.52864
Tropics,2004,0.4374
Tropics,2005,0.45416
Tropics,2006,0.43658
Tropics,2007,0.32347
Tropics,2008,0.23972
Tropics,2009,0.54985
Tropics,2010,0.52412
Tropics,2011,0.22253
Tropics,2012,0.37905
Tropics,2013,0.42168
Tropics,2014,0.54282
Tropics,2015,0.80844
Tropics,2016,0.83837
Tropics,2017,0.64178
Tropics,2018,0.51342
Tropics,2019,0.72706
Tropics,2020,0.72565
